,local_delta
1129,97120181
1130,96951016
1131,122228571
1132,99524652
1133,84694763
1134,101380998
1135,131284263
1136,98900592
1137,127045478
1138,111331114
1139,112655276
1140,101485425
1141,83617892
1142,104966505
1143,118878220
1144,173888676
1145,176298145
1146,118552127
1147,111686842
1148,115983127
1149,112037726
1150,104375622
1151,86643662
1152,100154337
1153,87081160
1154,116660313
1155,94393423
1156,113135014
1157,110742316
1158,113806521
1159,92416556
1160,110453723
1161,101527457
1162,86462778
1163,99360747
1164,101103239
1165,103526407
1166,99325070
1167,100684752
1168,90161357
1169,85577730
1170,87417722
1171,93749780
1172,98214918
1173,111827572
1174,103250314
1175,136152475
1176,90484324
1177,93744259
1178,105439108
1179,117038750
1180,99455435
1181,86525174
1182,88622926
1183,133823057
1184,111566897
1185,111574501
1186,103963750
1187,109683363
1188,99956787
1189,107579308
1190,103828646
1191,103776460
1192,99517674
1193,102932504
1194,84806170
1195,92674368
1196,89617402
1197,85712938
1198,91911768
1199,107787016
1200,95179515
1201,97726484
1202,93736396
1203,96650759
1204,112715330
1205,115840734
1206,96427167
1207,107336810
1208,94460716
1209,116834846
1210,94655090
1211,91230521
1212,113538817
1213,98234555
1214,234088283
1215,103539118
1216,99359082
1217,144397079
1218,95671493
1219,102479955
1220,88757301
1221,89489173
1222,95406598
1223,89251206
1224,92779941
1225,100927566
1226,105687598
1227,80868531
1228,100923972
1229,108146547
1230,96763624
1231,115087041
1232,87984232
1233,99533300
1234,105026768
1235,86720227
1236,105964369
1237,114030326
1238,133577488
1239,94641132
1240,90855054
1241,129629743
1242,103367400
1243,99888716
1244,94999308
1245,148744302
1246,95381391
1247,151058929
1248,81843944
1249,103465786
1250,128497560
1251,105688277
1252,109314616
1253,106235723
1254,130925936
1255,100172882
1256,126668349
1257,108401495
1258,139075956
1259,99202522
1260,128229542
1261,108018163
1262,97652893
1263,94006709
1264,106649263
1265,101881313
1266,124740284
1267,111323151
1268,189920493
1269,100370642
1270,124646743
1271,104989739
1272,108679098
1273,142912608
1274,97992735
1275,102341312
1276,100807568
1277,91209949
1278,106599837
1279,106324473
1280,109314512
1281,99777676
1282,106702492
1283,100282362
1284,108003477
1285,114892304
1286,77206255
1287,105331976
1288,110135656
1289,121614986
1290,106977595
1291,116973805
1292,102501780
1293,77653650
1294,103335475
1295,105200051
1296,93681971
1297,119502441
1298,102011573
1299,116167507
1300,157662394
1301,103744483
1302,117926459
1303,102064907
1304,129735370
1305,106279214
1306,122661700
1307,105604945
1308,87884807
1309,105571612
1310,99320491
1311,110430760
1312,185388900
1313,117075316
1314,159087233
1315,156455316
1316,108341133
1317,160956080
1318,168488550
1319,157689635
1320,130779846
1321,128337147
1322,193007203
1323,160100094
1324,122039516
1325,183499481
1326,136365969
1327,102336886
1328,121190873
1329,130351254
1330,138688096
1331,103776152
1332,106918326
1333,137809715
1334,113450227
1335,127029705
1336,124651641
1337,127279547
1338,114312621
1339,147944987
1340,162821855
1341,141728918
1342,112246691
1343,165404033
1344,138127214
1345,159627233
1346,119426455
1347,93917024
1348,101365119
1349,169746620
1350,140373923
1351,130118079
1352,145049166
1353,170224796
1354,151688463
1355,108023270
1356,166272155
1357,95069624
1358,125797055
1359,120032911
1360,120387232
1361,122097226
1362,151547474
1363,152139763
1364,132875881
1365,137743153
1366,172917077
1367,140656319
1368,120032702
1369,131382606
1370,142350375
1371,169432143
1372,130657452
1373,131829583
1374,115933500
1375,108134521
1376,175051913
1377,110073732
1378,116142771
1379,137781643
1380,183485577
1381,110836072
1382,132213384
1383,147747490
1384,128527513
1385,142571833
1386,114173872
1387,117331047
1388,118863437
1389,115083765
1390,151788984
1391,167497099
1392,208043658
1393,162191704
1394,115399076
1395,136469514
1396,145847758
1397,174730405
1398,113694135
1399,122993473
1400,141655379
1401,196357298
1402,217367528
1403,150256543
1404,171489480
1405,119946975
1406,142351991
1407,102180691
1408,133127548
1409,172536091
1410,180653038
1411,108850196
1412,142306262
1413,133209163
1414,153911113
1415,181511003
1416,143681257
1417,131020681
1418,121935717
1419,131892397
1420,139866741
1421,136354515
1422,123668784
1423,137394980
1424,167470174
1425,179426793
1426,207791942
1427,151619820
1428,128655327
1429,137037742
1430,147448430
1431,117435684
1432,215772380
1433,136679201
1434,169026679
1435,113215231
1436,151285342
1437,135015146
1438,156584436
1439,167691267
1440,136291495
1441,122108322
1442,151627633
1443,116094230
1444,145102346
1445,163722481
1446,100636635
1447,151593883
1448,187692803
1449,146178644
1450,117570059
1451,139163047
1452,121819052
1453,176133318
1454,171936095
1455,164733207
1456,122256759
1457,141317726
1458,125071957
1459,132133647
1460,139597941
1461,133976974
1462,161413897
1463,145864636
1464,122568529
1465,109928423
1466,153987624
1467,175811809
1468,165367788
1469,187779627
1470,110211494
1471,123968941
1472,180686583
1473,133830517
1474,208400119
1475,141565277
1476,170427664
1477,177550605
1478,161615876
1479,119866665
1480,126033828
1481,166877939
1482,96777953
1483,132790624
1484,185284846
1485,127696166
1486,140147002
1487,125904610
1488,151302323
1489,106670362
1490,158803283
1491,160360361
1492,107227183
1493,107978118
1494,159876040
1495,168946317
1496,110010610
1497,197262925
1498,121518222
1499,142529597
1500,149111603
1501,115495174
1502,142258645
1503,108655663
1504,155712815
1505,135412389
1506,135397857
1507,121429780
1508,203684441
1509,111556441
1510,99167218
1511,105290813
1512,166690206
1513,165836403
1514,101555758
1515,120825659
1516,124481180
1517,163229209
1518,162440926
1519,151143111
1520,121294874
1521,173317646
1522,167873216
1523,149771545
1524,102997523
1525,135115134
1526,134278726
1527,122702785
1528,128488202
1529,106045124
1530,129623097
1531,150586642
1532,155865183
1533,114623873
1534,133308147
1535,126218353
1536,93928608
1537,132845590
1538,176721376
1539,134578453
1540,104673189
1541,122731627
1542,134636002
1543,144916055
1544,149280637
1545,175991784
1546,138949906
1547,157896782
1548,164388396
1549,90257401
1550,117750214
1551,145888599
1552,191667141
1553,181204744
1554,162077607
1555,143970991
1556,154470313
1557,138412708
1558,139721666
1559,170702758
1560,126559111
1561,121206144
1562,177731557
1563,132335777
1564,96825100
1565,127856192
1566,173628324
1567,106140046
1568,131159262
1569,137361501
1570,146506083
1571,150279311
1572,148621966
1573,134684727
1574,189601076
1575,116345405
1576,131386549
1577,163294982
1578,205587788
1579,114428215
1580,143844357
1581,135895399
1582,124060817
1583,192213463
1584,123581596
1585,178090649
1586,111404304
1587,134111958
1588,122985396
1589,145712318
1590,158592680
1591,152725857
1592,157079449
1593,145319606
1594,154781375
1595,139199398
1596,112250549
1597,124909244
1598,136095387
1599,145362779
1600,139221790
1601,245268483
1602,124932990
1603,171382250
1604,123087261
1605,123144864
1606,162360947
1607,139852358
1608,159798550
1609,163038809
1610,157705268
1611,165645577
1612,137860689
1613,128610639
1614,233104928
1615,142637507
1616,136576728
1617,116017984
1618,144061308
1619,274303399
1620,149974689
1621,148419897
1622,125093446
1623,152053331
1624,175273897
1625,123725476
1626,151280153
1627,141798281
1628,153108067
1629,152444577
1630,149306401
1631,171419465
1632,142347392
1633,102273917
1634,157315145
1635,129742968
1636,164411858
1637,137933848
1638,199742885
1639,158748682
1640,130958798
1641,156455088
1642,205999752
1643,138617386
1644,145488268
1645,149149307
1646,150180347
1647,134163271
1648,156013832
1649,286598925
1650,174260124
1651,121016451
1652,112541403
1653,161372576
1654,152093726
1655,124820926
1656,128730038
1657,190204433
1658,125251705
1659,163703560
1660,109654994
1661,173204751
1662,126903577
1663,178052612
1664,136726643
1665,186872813
1666,140354973
1667,143771273
1668,136704714
1669,132290029
1670,176300627
1671,143800437
1672,134511952
1673,95092808
1674,127931174
1675,148254078
1676,150036107
1677,111717849
1678,105399101
1679,221298664
1680,118656280
1681,139254809
1682,133519551
1683,134832831
1684,117472581
1685,145012302
1686,137566213
1687,146660269
1688,125959136
1689,142853290
1690,152896825
1691,147222817
1692,149423285
1693,154586249
1694,125163144
1695,152136145
1696,135298760
1697,151212342
1698,162492489
1699,133610687
1700,147542343
1701,111069973
1702,162603113
1703,126558033
1704,133405111
1705,135866047
1706,133688339
1707,107566795
1708,121988660
1709,141656561
1710,152894312
1711,152809781
1712,151080719
1713,136598385
1714,119410325
1715,170063827
1716,132289272
1717,107838666
1718,120125218
1719,159609249
1720,113519024
1721,123042610
1722,161951224
1723,124612504
1724,180760322
1725,141905353
1726,170251006
1727,108656056
1728,121534170
1729,117633340
1730,133025826
1731,159759241
1732,156942992
1733,126566611
1734,111698603
1735,152859973
1736,140634358
1737,132533167
1738,144148104
1739,142045085
1740,122419841
1741,134453423
1742,110118965
1743,131378425
1744,153282936
1745,125099523
1746,133061234
1747,128970144
1748,170435574
1749,122618795
1750,179733377
1751,178076763
1752,138563570
1753,124105457
1754,117006089
1755,98844543
1756,162037920
1757,131778574
1758,150315847
1759,127161702
1760,119076814
1761,202962410
1762,134183986
1763,118607281
1764,110363435
1765,151462977
1766,127970188
1767,114745304
1768,126341907
1769,126548416
1770,107281612
1771,109713068
1772,116703425
1773,136694759
1774,124158208
1775,153324220
1776,156560205
1777,172643731
1778,133084552
1779,130717835
1780,135648142
1781,129315751
1782,89055532
1783,126371014
1784,117424721
1785,160350769
1786,161926444
1787,161151913
1788,167085604
1789,142729275
1790,123436431
1791,156735769
1792,133499179
1793,133505845
1794,94763699
1795,181042512
1796,110284046
1797,126908559
1798,143550467
1799,114965290
1800,118143151
1801,112125137
1802,205661542
1803,178640114
1804,124232986
1805,126144598
1806,140948799
1807,180863962
1808,176369175
1809,152937587
1810,107582638
1811,213328870
1812,170771054
1813,139402131
1814,118262831
1815,149118421
1816,200772683
1817,154727059
1818,157004035
1819,155370599
1820,118161163
1821,132421927
1822,121065742
1823,166964750
1824,150360185
1825,124874434
1826,128629377
1827,120080688
1828,148656435
1829,146525344
1830,125096880
1831,154556947
1832,155967153
1833,137853581
1834,167767762
1835,144093573
1836,188737579
1837,160843603
1838,142335865
1839,152461737
1840,139697742
1841,143012841
1842,181092064
1843,146866690
1844,142633727
1845,135033266
1846,153077149
1847,109544392
1848,105570126
1849,150502620
1850,164918487
1851,110395014
1852,131526132
1853,122972237
1854,189554859
1855,127181918
1856,132538942
1857,136189666
1858,131311964
1859,128957644
1860,120606195
1861,116321253
1862,141824500
1863,121788172
1864,154409847
1865,120799161
1866,124257490
1867,113792087
1868,147163813
1869,134238309
1870,150060214
1871,128214358
1872,123288739
1873,94989767
1874,164871963
1875,146090998
1876,164709358
1877,173489970
1878,190489061
1879,148858597
1880,130283831
1881,169580338
1882,154994733
1883,130243361
1884,124469619
1885,166106070
1886,93063099
1887,136092882
1888,173551683
1889,143338131
1890,117867906
1891,165701953
1892,135764182
1893,114462911
1894,136643972
1895,136964179
1896,145044896
1897,130449292
1898,116889051
1899,110525570
1900,116875457
1901,163265285
1902,101145583
1903,119772691
1904,148407180
1905,186616811
1906,137069018
1907,181368849
1908,134350219
1909,139344013
1910,143927808
1911,143368382
1912,150427954
1913,163148925
1914,113154832
1915,111848635
1916,145436866
1917,159643562
1918,155207475
1919,183156391
1920,139062029
1921,99799015
1922,145719518
1923,141855618
1924,131994591
1925,144664258
1926,119994191
1927,157477674
1928,174159211
1929,202749791
1930,132568857
1931,131436462
1932,174273271
1933,125513502
1934,114478415
1935,116122474
1936,132108646
1937,138534887
1938,187202049
1939,130175367
1940,189090170
1941,159263914
1942,112067999
1943,133497704
1944,146341851
1945,197713330
1946,159363547
1947,165884630
1948,174910761
1949,107436182
1950,171398578
1951,159252659
